#PATH-POINTS-START matchload
47.411, 8.112, 48.622
47.419, 9.112, 48.685
47.408, 10.112, 48.75
47.379, 11.111, 48.817
47.333, 12.11, 48.887
47.27, 13.108, 48.958
47.188, 14.105, 49.107
47.091, 15.1, 49.184
46.979, 16.094, 49.263
46.853, 17.086, 49.344
46.713, 18.076, 49.512
46.56, 19.064, 49.599
46.396, 20.051, 49.689
46.222, 21.035, 49.876
46.037, 22.018, 49.975
45.844, 22.999, 50.077
45.643, 23.979, 50.294
45.436, 24.957, 50.411
45.224, 25.934, 50.533
45.008, 26.911, 50.8
44.79, 27.887, 50.945
44.571, 28.862, 50.732
44.353, 29.839, 50.552
44.139, 30.815, 50.146
43.93, 31.793, 49.917
43.731, 32.773, 49.39
43.543, 33.755, 48.753
43.37, 34.74, 48.384
43.22, 35.729, 47.52
43.097, 36.721, 46.452
43.01, 37.717, 45.132
42.969, 38.716, 43.506
42.986, 39.716, 41.168
43.079, 40.711, 37.959
43.271, 41.692, 35.328
43.578, 42.643, 31.765
44.027, 43.535, 30.321
44.614, 44.343, 30.49
45.331, 45.039, 32.154
46.145, 45.617, 35.984
47.031, 46.079, 38.713
47.962, 46.444, 41.191
48.92, 46.727, 40.864
49.897, 46.942, 37.628
50.884, 47.099, 34.087
51.878, 47.214, 30.132
52.875, 47.286, 25.573
53.874, 47.327, 20
54.699, 47.342, 0
54.699, 47.342, 0
74.696, 47.696, 0
endData
#PATH-POINTS-START firstscore
54.699, 47.235, 44.889
54.046, 47.992, 44.889
53.368, 48.727, 45.048
52.665, 49.437, 45.213
51.939, 50.125, 45.381
51.192, 50.79, 45.55
50.425, 51.431, 45.718
49.636, 52.046, 45.718
48.829, 52.637, 45.882
48.008, 53.207, 46.042
47.172, 53.756, 46.195
46.324, 54.285, 46.342
45.46, 54.789, 46.342
44.585, 55.273, 46.482
43.7, 55.738, 46.614
42.806, 56.186, 46.738
41.902, 56.614, 46.738
40.989, 57.021, 46.855
40.069, 57.413, 46.965
39.143, 57.79, 47.067
38.209, 58.148, 47.067
37.269, 58.488, 47.162
36.324, 58.816, 47.25
35.375, 59.13, 47.332
34.419, 59.425, 47.332
33.46, 59.707, 47.408
32.497, 59.978, 47.479
31.53, 60.234, 47.479
30.56, 60.475, 47.544
29.587, 60.707, 47.604
28.611, 60.925, 47.604
27.633, 61.129, 47.659
26.652, 61.324, 47.71
25.669, 61.508, 47.71
24.683, 61.678, 47.757
23.696, 61.839, 47.799
22.708, 61.99, 47.799
21.717, 62.128, 47.839
20.726, 62.258, 47.874
19.733, 62.378, 47.874
18.739, 62.486, 47.907
